episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,352.0,6.942702144466412,5.86981390846541,173.69602984350107,15.0,0.6,3,0.1,False,True,61.98318776336201,96,23.11822180235112,30.135,in_progress,0.0
0,353.0,6.906375887542074,5.867108337281027,175.29907372742971,-30.0,0.6,0,0.1,False,True,62.186430050101414,96,23.11822180235112,30.216,in_progress,0.0
0,354.0,6.854268879058493,5.864676697785473,176.91248251508134,-30.0,0.6,0,0.1,False,True,62.41092258441672,97,23.11822180235112,30.277,in_progress,0.0
0,355.0,6.812458253111911,5.864252095766852,177.51208852928755,-30.0,0.6,0,0.1,False,True,62.591413049500034,97,23.11822180235112,30.338,in_progress,0.0
0,356.0,6.769692520596515,5.86584108363228,177.60354195391264,-30.0,0.6,0,0.1,False,True,62.82637038855371,97,23.11822180235112,30.41,in_progress,0.0
0,357.0,6.72313327875087,5.873094074454662,176.49463548773878,15.0,0.6,3,0.1,False,True,63.028185197429046,97,23.11822180235112,30.468,in_progress,0.0
0,358.0,6.687571157231965,5.878501268139774,175.7186052238037,-30.0,0.6,0,0.1,False,True,63.18232408206706,98,23.11822180235112,30.552,in_progress,0.0
0,359.0,6.629509595459285,5.889660774312923,174.23063125423835,0.0,0.6,2,0.5,False,True,63.476884629757166,98,23.11822180235112,30.619,in_progress,0.0
0,360.0,6.590764286431421,5.897109902711917,173.44331358386788,30.0,0.6,4,0.5,False,True,63.64367809056567,98,23.11822180235112,30.686,in_progress,0.0
0,361.0,6.5496502684670235,5.904271594916123,172.874502935054,30.0,0.6,4,0.5,False,True,63.82074399367428,99,23.11822180235112,30.74,in_progress,0.0
0,362.0,6.504994736356611,5.9092708470470905,173.03145176311128,30.0,0.6,4,0.5,False,True,64.01334448984875,99,23.11822180235112,30.808,in_progress,0.0
0,363.0,6.46101995788065,5.91131871246988,173.79850893420493,30.0,0.6,4,0.5,False,True,64.23974741943366,99,23.11822180235112,30.884,in_progress,0.0
0,364.0,6.415384304470707,5.908851156665536,175.5346192779009,30.0,0.6,4,0.5,False,True,64.43743454956291,100,23.11822180235112,30.953,in_progress,0.0
0,365.0,6.369429707039144,5.900672878771409,178.2997421896274,30.0,0.6,4,0.5,False,True,64.63795545819006,100,23.11822180235112,31.024,in_progress,0.0
0,366.0,6.327305936051959,5.890190026537445,-178.95777200777894,15.0,0.6,3,0.5,False,True,64.86085474317791,100,23.11822180235112,31.081,in_progress,0.0
0,367.0,6.287454275614753,5.878136801163433,-176.26317404660438,0.0,0.6,2,0.5,False,True,65.03738988735341,101,23.11822180235112,31.15,in_progress,0.0
0,368.0,6.241347435575251,5.864296652901245,-173.7107384439613,-30.0,0.6,0,0.5,False,True,65.2415913890221,101,23.11822180235112,31.199,in_progress,0.0
0,369.0,6.204109047270976,5.853226211296625,-172.04940117378607,-30.0,0.6,0,0.1,False,True,65.4572529864285,101,23.11822180235112,31.279,in_progress,0.0
0,370.0,6.153596069849377,5.843036913110474,-171.31184534758938,-30.0,0.6,0,0.1,False,True,65.67973100117857,102,23.11822180235112,31.344,in_progress,0.0
0,371.0,6.1137915339000894,5.8367416648535535,-171.24520815885495,-30.0,0.6,0,0.1,False,True,65.85401669012107,102,23.11822180235112,31.41,in_progress,0.0
0,372.0,6.068681693233967,5.8331753127366754,-172.03966394023908,-30.0,0.6,0,0.1,False,True,66.12594528464108,102,23.11822180235112,31.477,in_progress,0.0
0,373.0,6.025323506916077,5.833679980609244,-173.55401696062955,0.0,0.6,2,0.5,False,True,66.30923472668918,102,23.11822180235112,31.564,in_progress,0.0
0,374.0,5.973600164956439,5.835354434105849,-175.29374869708377,15.0,0.6,3,0.5,False,True,66.5269547393096,103,23.11822180235112,31.61,in_progress,0.0
0,375.0,5.937827625087964,5.83639220550129,-176.22528352704245,15.0,0.6,3,0.5,False,True,66.72937940844618,103,23.11822180235112,31.683,in_progress,0.0
0,376.0,5.887953625550982,5.833657782280707,-176.32918032181863,15.0,0.6,3,0.5,False,True,66.94127305973193,103,23.11822180235112,31.745,in_progress,0.0
